NIS,Commune,Dénominateur,Numérateur,Taux
63079,Verviers,1124,605,"0,54"
63080,Waimes,47,19,"0,40"
63084,Welkenraedt,92,42,"0,46"
63086,Trois-Ponts,32,14,"0,44"
63087,Burg-Reuland,<10,3,n/a
63088,Plombières,92,42,"0,46"
63089,Thimister-Clermont,22,11,"0,50"
64008,Berloz,25,6,"0,24"
64015,Braives,32,11,"0,34"
64021,Crisnée,28,8,"0,29"
64023,Donceel,17,4,"0,24"
64025,Fexhe-le-Haut-Clocher,19,6,"0,32"
64029,Geer,17,8,"0,47"
64034,Hannut,135,47,"0,35"
64047,Lincent,23,9,"0,39"
64056,Oreye,34,14,"0,41"
64063,Remicourt,37,7,"0,19"
64065,Saint-Georges-sur-Meuse,66,31,"0,47"
64074,Waremme,183,64,"0,35"
64075,Wasseiges,16,2,"0,13"
64076,Faimes,32,6,"0,19"
71002,As,21,2,"0,10"
71004,Beringen,145,24,"0,17"
71011,Diepenbeek,48,14,"0,29"
71016,Genk,266,79,"0,30"
71017,Gingelom,24,6,"0,25"
71020,Halen,24,2,"0,08"
71072,Hasselt,327,107,"0,33"
71024,Herck-la-Ville,27,12,"0,44"
71034,Bourg-Léopold,41,4,"0,10"
71037,Lummen,32,5,"0,16"
71045,Nieuwerkerken,12,2,"0,17"
71053,Saint-Trond,209,39,"0,19"
71071,Tessenderlo-Ham,57,10,"0,18"
71066,Zonhoven,42,9,"0,21"
71067,Zutendaal,14,4,"0,29"
71070,Heusden-Zolder,116,28,"0,24"
72042,Oudsbergen,41,8,"0,20"
72003,Bocholt,24,7,"0,29"
72004,Bree,51,15,"0,29"
72018,Kinrooi,26,7,"0,27"
72020,Lommel,84,13,"0,15"
72021,Maaseik,54,13,"0,24"
72043,Pelt,79,14,"0,18"
72030,Peer,37,8,"0,22"
72037,Hamont-Achel,39,11,"0,28"
72038,Hechtel-Eksel,27,7,"0,26"
72039,Houthalen-Helchteren,113,36,"0,32"
72041,Dilsen-Stokkem,68,20,"0,29"
73001,Alken,24,4,"0,17"
73110,Bilzen-Hoeselt,110,30,"0,27"
73111,Tongres-Looz,158,37,"0,23"
73022,Heers,20,6,"0,30"
73028,Herstappe,0,0,n/a
73042,Lanaken,64,14,"0,22"
73066,Riemst,47,8,"0,17"
73098,Wellen,11,0,"0,00"
73107,Maasmechelen,170,63,"0,37"
73109,Fourons,12,1,"0,08"
81001,Arlon,266,116,"0,44"
81003,Attert,24,3,"0,13"
81004,Aubange,124,42,"0,34"
81013,Martelange,12,3,"0,25"
81015,Messancy,45,13,"0,29"
82039,Bastogne,146,67,"0,46"
82009,Fauvillers,<10,3,n/a
82014,Houffalize,44,11,"0,25"
82032,Vielsalm,83,33,"0,40"
82036,Vaux-sur-Sûre,21,2,"0,10"
82037,Gouvy,33,12,"0,36"
82038,Sainte-Ode,14,7,"0,50"
83012,Durbuy,105,55,"0,52"
83013,Erezée,22,11,"0,50"
83028,Hotton,56,25,"0,45"
83031,La Roche-en-Ardenne,46,22,"0,48"
83034,Marche-en-Famenne,150,61,"0,41"
83040,Nassogne,35,15,"0,43"
83044,Rendeux,18,7,"0,39"
83049,Tenneville,<10,3,n/a
83055,Manhay,14,9,"0,64"
84009,Bertrix,63,18,"0,29"
84010,Bouillon,69,43,"0,62"
84016,Daverdisse,16,5,"0,31"
84029,Herbeumont,15,7,"0,47"
84033,Léglise,21,4,"0,19"
84035,Libin,30,10,"0,33"
84043,Neufchâteau,59,25,"0,42"
84050,Paliseul,43,17,"0,40"
84059,Saint-Hubert,38,20,"0,53"
84068,Tellin,19,9,"0,47"
84075,Wellin,21,6,"0,29"
84077,Libramont-Chevigny,88,35,"0,40"
85007,Chiny,39,13,"0,33"
85009,Etalle,26,6,"0,23"
85011,Florenville,53,8,"0,15"
85024,Meix-devant-Virton,19,9,"0,47"
85026,Musson,29,9,"0,31"
85034,Saint-Léger,<10,2,n/a
85039,Tintigny,15,9,"0,60"
85045,Virton,88,47,"0,53"
85046,Habay,23,5,"0,22"
85047,Rouvroy,16,10,"0,63"
91005,Anhée,57,26,"0,46"
91013,Beauraing,107,68,"0,64"
91015,Bièvre,33,11,"0,33"
91030,Ciney,180,76,"0,42"
